,FIPS_ID,FIRE_NAME,FIRE_YEAR,DISCOVERY_TIME,STAT_CAUSE_DESCR,CONT_DATE,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,FIPS_NAME,DISCOVERY_MONTH,DISCOVERY_DAY,AWND,PRCP,TAVG,DURING_A_DROUGHT,WATERSHD,POP_BY_COUNTY
20,025-11,TREE,2002,248.0,Campfire,12/1/2002,323.0,0.1,A,32.9931,-115.0844,Imperial,12,1,2.91,0.0,59.6,1.0,0,144818
21,025-110,GECKO,2012,1712.0,Equipment Use,11/25/2012,1839.0,0.1,A,32.9325,-115.13528899999999,Imperial,11,25,2.91,0.0,69.0,1.0,0,176575
22,025-111,HARRIER,2012,1530.0,Equipment Use,7/26/2012,1935.0,0.5,B,32.781695,-114.76649099999999,Imperial,7,26,6.26,0.0,96.0,1.0,0,176575
23,025-112,HELEN,2012,1400.0,Lightning,8/18/2012,1910.0,0.1,A,32.883140000000004,-115.77819,Imperial,8,18,5.48,0.0,91.0,1.0,0,176575
24,025-113,HIGHLINE,2012,1451.0,Arson,6/3/2012,1700.0,142.4,D,33.16742,-115.40386000000001,Imperial,6,1,11.52,0.0,96.5,1.0,1,176575
25,025-114,MOUNTAIN,2012,1315.0,Miscellaneous,4/28/2012,1648.0,2.6,B,32.67242,-116.09867,Imperial,4,28,5.925,0.0,81.25,1.0,0,176575
26,025-115,MT SPRINGS,2012,1035.0,Miscellaneous,5/22/2012,1130.0,0.5,B,32.68058,-116.09392,Imperial,5,22,10.405,0.0,92.5,1.0,0,176575
27,025-116,PAD 2,2012,7.0,Equipment Use,2/19/2012,30.0,0.1,A,32.9508,-115.1522,Imperial,2,19,11.52,0.0,60.25,1.0,0,176575
28,025-117,PALO VERDE 2,2012,1420.0,Miscellaneous,4/29/2012,1800.0,0.1,A,33.3769,-114.7092,Imperial,4,28,5.925,0.0,81.25,1.0,0,176575
29,025-118,RAMADA,2012,1620.0,Arson,6/27/2012,1832.0,0.2,A,32.76608,-116.08116000000001,Imperial,6,27,6.49,0.0,96.5,1.0,0,176575
30,025-119,RAZOR,2012,1002.0,Equipment Use,3/31/2012,1109.0,0.1,A,32.73796,-114.94332,Imperial,3,31,15.77,0.0,73.25,1.0,0,176575
31,025-12,BALE,2003,1805.0,Miscellaneous,12/31/2003,1825.0,0.1,A,32.9334,-115.1341,Imperial,12,31,3.8,0.0,52.2,1.0,0,147671
32,025-120,SPLIT,2012,2132.0,Miscellaneous,1/29/2012,2300.0,0.1,A,32.9011,-115.9997,Imperial,1,29,4.7,0.0,64.5,1.0,0,176575
33,025-121,WILKINS,2012,1700.0,Missing/Undefined,5/9/2012,2349.0,8.5,B,33.33889,-115.56756000000001,Imperial,5,9,6.15,0.0,86.75,1.0,0,176575
34,025-122,,2012,1715.0,Miscellaneous,,,2.0,B,32.931574,-115.40623400000001,Imperial,6,9,13.755,0.0,87.75,1.0,0,176575
35,025-123,,2012,1413.0,Arson,,,1.0,B,32.912815,-115.53553899999999,Imperial,6,23,11.075,0.0,91.25,1.0,0,176575
36,025-124,CANAL,2013,1958.0,Arson,11/9/2013,1650.0,0.1,A,33.00288,-115.21515,Imperial,11,8,3.47,0.0,70.75,1.0,0,176438
37,025-125,CHEVY,2013,1419.0,Equipment Use,4/3/2013,1515.0,0.1,A,32.7242,-115.1331,Imperial,4,3,4.7,0.0,78.25,1.0,0,176438
38,025-126,FERGUSON 1,2013,1700.0,Lightning,,,0.1,A,33.000333000000005,-114.50538300000001,Imperial,8,22,8.28,0.026000000000000002,93.33333333,1.0,0,176438
39,025-127,GECKO LOOP,2013,1754.0,Equipment Use,11/25/2013,2000.0,0.1,A,32.9445,-115.1466,Imperial,11,25,4.81,0.0,59.75,1.0,0,176438
40,025-128,GORDONS,2013,1527.0,Miscellaneous,7/4/2013,1556.0,0.1,A,32.709,-114.947,Imperial,7,4,10.85,0.0,96.33333333,1.0,0,176438
41,025-129,HIGHLINE,2013,1640.0,Miscellaneous,4/15/2013,1617.0,261.7,D,32.69785,-115.27739,Imperial,4,1,10.18,0.0,70.25,1.0,1,176438
42,025-13,BIKE,2003,1915.0,Arson,2/16/2003,1920.0,0.1,A,32.9489,-115.1505,Imperial,2,16,3.8,0.0,64.6,1.0,0,147671
43,025-130,OSBORNE,2013,1613.0,Equipment Use,10/26/2013,1643.0,0.1,A,32.983000000000004,-115.135,Imperial,10,26,3.805,0.0,78.5,1.0,0,176438
44,025-131,RAZOR,2013,1429.0,Equipment Use,11/27/2013,1455.0,0.1,A,32.9628,-115.0989,Imperial,11,27,4.14,0.0,62.25,1.0,0,176438
45,025-132,SANDRAIL,2013,1542.0,Equipment Use,2/16/2013,1548.0,0.1,A,32.9683,-115.1696,Imperial,2,16,5.48,0.0,66.75,1.0,0,176438
46,025-133,SCHOOL BUS,2013,1223.0,Debris Burning,2/18/2013,1252.0,0.1,A,32.9718,-115.1606,Imperial,2,18,4.475,0.0,62.5,1.0,0,176438
47,025-134,SONNY,2013,1430.0,Miscellaneous,7/11/2013,1700.0,0.5,B,33.17611111,-115.62194440000002,Imperial,7,11,6.04,0.027999999999999997,89.0,1.0,0,176438
48,025-135,TEN,2013,1152.0,Equipment Use,11/30/2013,1206.0,0.1,A,32.98,-115.0461,Imperial,11,30,4.7,0.0,64.25,1.0,0,176438
49,025-136,TEST,2013,1507.0,Equipment Use,11/29/2013,1617.0,0.1,A,32.7298,-114.9264,Imperial,11,29,4.025,0.0,61.5,1.0,0,176438
50,025-137,TIRE,2013,816.0,Equipment Use,1/13/2013,820.0,0.1,A,32.7525,-114.8461,Imperial,1,13,3.805,0.0,45.75,1.0,0,176438
51,025-138,WALTERS,2013,1256.0,Miscellaneous,1/2/2013,1500.0,0.3,B,33.313447,-114.86294699999999,Imperial,1,2,6.15,0.0,52.0,1.0,0,176438
52,025-139,,2013,1644.0,Missing/Undefined,,,200.0,D,32.679243,-115.531213,Imperial,4,1,10.18,0.0,70.25,1.0,0,176438
53,025-14,CANAL,2003,1930.0,Fireworks,11/28/2003,10.0,3.0,B,32.7048,-114.9577,Imperial,11,27,6.49,0.0,58.8,1.0,0,147671
54,025-140,,2013,859.0,Smoking,,,1.0,B,32.773509999999995,-115.51168,Imperial,3,1,5.145,0.0,68.25,1.0,0,176438
55,025-141,,2013,1414.0,Debris Burning,,,0.1,A,32.847398,-115.631676,Imperial,4,12,4.475,0.0,76.5,1.0,0,176438
56,025-142,,2013,2212.0,Missing/Undefined,,,6.0,B,32.789553999999995,-115.509593,Imperial,6,6,6.375,0.057999999999999996,94.66666667,1.0,0,176438
57,025-143,,2013,1850.0,Miscellaneous,,,5.0,B,32.876401,-115.380343,Imperial,3,7,12.19,0.0,63.0,1.0,0,176438
58,025-144,,2013,1805.0,Missing/Undefined,,,3.0,B,32.832865000000005,-115.294458,Imperial,2,8,20.02,0.0,55.0,1.0,0,176438
59,025-145,,2013,2053.0,Missing/Undefined,,,0.05,A,32.849188,-115.586404,Imperial,3,17,6.15,0.0,76.25,1.0,0,176438
60,025-146,,2013,759.0,Missing/Undefined,,,40.0,C,32.744605,-115.70734499999999,Imperial,6,25,4.7,0.0,91.0,1.0,0,176438
61,025-147,,2013,1100.0,Missing/Undefined,,,30.0,C,32.847299,-115.435552,Imperial,4,15,19.91,0.0,68.75,1.0,0,176438
62,025-148,,2013,1320.0,Missing/Undefined,,,5.0,B,32.978654,-115.52963000000001,Imperial,3,13,4.585,0.0,78.25,1.0,0,176438
63,025-149,,2013,1254.0,Children,,,0.5,B,32.861823,-115.54607,Imperial,2,11,7.16,0.0,52.0,1.0,0,176438
64,025-15,CEMENT FLA,2003,2300.0,Fireworks,2/15/2003,2350.0,0.1,A,32.9789,-115.18,Imperial,2,15,3.24,0.01875,63.6,1.0,0,147671
65,025-150,,2013,1148.0,Miscellaneous,,,1.0,B,32.796577,-115.624806,Imperial,5,28,10.96,0.0,84.66666667,1.0,0,176438
66,025-151,,2013,1321.0,Missing/Undefined,,,3.0,B,33.044511,-115.414895,Imperial,4,5,12.305,0.0,76.75,1.0,0,176438
67,025-152,,2013,730.0,Missing/Undefined,,,50.0,C,32.679243,-115.531213,Imperial,4,4,7.27,0.0,79.5,1.0,0,176438
68,025-153,,2013,1307.0,Missing/Undefined,,,22.0,C,32.839987,-115.465608,Imperial,4,21,5.48,0.0,81.0,1.0,0,176438
69,025-154,CHECKPOINT,2014,2047.0,Miscellaneous,11/6/2014,2215.0,0.1,A,33.224587,-114.849805,Imperial,11,6,5.59,0.0,75.0,1.0,0,177974
70,025-155,NELSONS,2014,2124.0,Missing/Undefined,11/22/2014,2200.0,0.1,A,32.818884000000004,-115.280266,Imperial,11,22,6.715,0.0,66.66666667,1.0,0,177974
71,025-156,OSBORNE,2014,1638.0,Equipment Use,11/27/2014,1732.0,0.1,A,32.986999999999995,-115.125,Imperial,11,27,3.8,0.0,70.66666667,1.0,0,177974
72,025-157,PILOT,2014,1519.0,Miscellaneous,1/25/2014,1930.0,0.3,B,32.719,-114.749,Imperial,1,25,3.355,0.0,68.66666667,1.0,0,177974
73,025-158,SAND,2014,918.0,Arson,11/9/2014,1127.0,0.1,A,32.9951,-115.0584,Imperial,11,8,4.25,0.0,76.66666667,1.0,0,177974
74,025-159,SENATOR,2014,1351.0,Campfire,5/17/2014,1545.0,0.1,A,32.9122,-114.4914,Imperial,5,17,13.645,0.0,91.33333333,1.0,0,177974
75,025-16,CLEANGENE,2003,1945.0,Campfire,11/28/2003,2015.0,0.1,A,32.9978,-115.0777,Imperial,11,28,5.14,0.0,59.0,1.0,0,147671
76,025-160,SWING,2014,1022.0,Campfire,6/8/2014,1203.0,0.1,A,32.9122,-114.4856,Imperial,6,8,6.04,0.0,92.33333333,1.0,0,177974
77,025-161,TRASH,2014,1419.0,Campfire,11/30/2014,1440.0,0.1,A,32.9922,-115.0778,Imperial,11,30,9.175,0.0,66.0,1.0,0,177974
78,025-162,TREADWELL,2014,1200.0,Miscellaneous,4/20/2014,1230.0,0.1,A,33.326370000000004,-115.99937,Imperial,4,20,5.255,0.0,82.0,1.0,0,177974
79,025-163,WHEELER,2014,1859.0,Equipment Use,11/14/2014,1950.0,0.1,A,32.903323,-115.76369,Imperial,11,14,6.485,0.0,68.66666667,1.0,0,177974
80,025-164,,2014,2000.0,Missing/Undefined,,,0.1,A,32.781999,-114.539803,Imperial,6,22,10.74,0.0,93.66666667,1.0,0,177974
81,025-165,,2014,1600.0,Missing/Undefined,,,1.0,B,32.760038,-114.61426399999999,Imperial,2,22,3.13,0.0,66.66666667,1.0,0,177974
82,025-166,BANTA,2015,1922.0,Equipment Use,1/16/2015,2022.0,0.1,A,32.9687,-114.8478,Imperial,1,16,4.47,0.0,63.0,1.0,0,178937
83,025-167,HOT SPRINGS,2015,1900.0,Miscellaneous,10/19/2015,1700.0,2.0,B,32.7667,-115.2669,Imperial,10,18,11.635,0.0,81.75,1.0,0,178937
84,025-168,INKOPAH,2015,1800.0,Missing/Undefined,7/29/2015,1930.0,0.1,A,32.64785,-116.10512,Imperial,7,29,8.39,0.0,93.75,1.0,0,178937
85,025-169,LEVEE,2015,1702.0,Equipment Use,6/5/2015,1742.0,0.1,A,32.758694,-114.824799,Imperial,6,5,10.74,0.0,81.0,1.0,0,178937
86,025-17,DUNEBUGGY,2003,615.0,Equipment Use,11/26/2003,800.0,0.1,A,32.7164,-114.9344,Imperial,11,26,5.59,0.0,58.2,1.0,0,147671
87,025-170,RAIL,2015,930.0,Equipment Use,2/14/2015,1000.0,0.1,A,32.952286,-115.085722,Imperial,2,14,4.25,0.0,73.25,1.0,0,178937
88,025-171,ROMEO,2015,1026.0,Equipment Use,11/27/2015,1200.0,0.1,A,32.9628,-115.0847,Imperial,11,27,7.16,0.018000000000000002,53.75,1.0,0,178937
89,025-172,SAND,2015,1200.0,Equipment Use,2/13/2015,1215.0,0.1,A,32.934631,-115.08731,Imperial,2,13,4.585,0.0,71.0,1.0,0,178937
90,025-173,SEMINOLE,2015,1904.0,Missing/Undefined,2/7/2015,1930.0,0.1,A,32.736999999999995,-115.995,Imperial,2,7,3.69,0.0,70.0,1.0,0,178937
91,025-174,Carter Fire,2020,,,4/4/2020,,275.0,,32.93432,-115.5865,Imperial,4,4,12.75,0.0,70.66666667,0.0,0,182333
92,025-18,GAS CAN,2003,2250.0,Arson,2/14/2003,2258.0,0.1,A,32.9498,-115.1505,Imperial,2,14,2.575,0.08125,61.8,1.0,0,147671
93,025-19,SEVENEIGHT,2003,2.0,Miscellaneous,11/30/2003,40.0,0.1,A,32.9706,-115.2522,Imperial,11,30,3.13,0.0,59.0,1.0,0,147671
94,025-20,SPIKE,2003,1858.0,Arson,5/5/2003,840.0,0.1,A,33.0359,-115.1297,Imperial,5,4,15.66,0.0,69.2,1.0,0,147671
95,025-21,TITSWORTH,2003,1730.0,Lightning,8/27/2003,1200.0,15.0,C,33.0667,-115.2675,Imperial,8,25,5.59,0.0,94.0,1.0,0,147671
96,025-22,TOYHAULER,2003,1026.0,Miscellaneous,10/26/2003,1219.0,0.1,A,32.9487,-115.2383,Imperial,10,26,8.05,0.0,77.0,1.0,0,147671
97,025-23,CAFKU11492,2004,,Miscellaneous,9/10/2004,,2.0,B,33.125739,-114.80126100000001,Imperial,9,10,4.7,0.0,95.66666667,1.0,0,150509
98,025-24,CAFKU11502,2004,,Miscellaneous,9/10/2004,,2.0,B,33.125739,-114.80126100000001,Imperial,9,10,4.7,0.0,95.66666667,1.0,0,150509
99,025-25,CAFKU11503,2004,,Miscellaneous,9/10/2004,,1.0,B,33.125739,-114.80126100000001,Imperial,9,10,4.7,0.0,95.66666667,1.0,0,150509
100,025-26,CANAL 2,2004,1830.0,Miscellaneous,1/31/2004,1930.0,1.0,B,32.7164,-115.1839,Imperial,1,31,13.87,0.0,58.6,1.0,0,150509
101,025-27,CARRIZO,2004,1330.0,Miscellaneous,6/11/2004,1910.0,2.0,B,32.863580999999996,-116.02856100000001,Imperial,6,11,6.71,0.0,84.6,1.0,0,150509
102,025-28,DAVIES,2004,2337.0,Missing/Undefined,3/23/2004,410.0,0.1,A,33.9067,-115.6589,Imperial,3,22,5.14,0.0,85.8,1.0,0,150509
103,025-29,DUNEBUGGY,2004,1134.0,Lightning,3/21/2004,1204.0,0.1,A,32.7192,-114.9491,Imperial,3,21,6.04,0.0,85.0,1.0,0,150509
104,025-30,FIREBALL,2004,1910.0,Arson,12/31/2004,1947.0,0.1,A,32.7125,-114.9169,Imperial,12,31,6.71,0.0,54.6,1.0,0,150509
105,025-31,FKU 09209,2004,,Miscellaneous,7/24/2004,,0.1,A,33.1257,-114.764781,Imperial,7,24,8.5,0.0,95.8,1.0,0,150509
106,025-32,KIP,2004,2320.0,Equipment Use,11/26/2004,2340.0,0.1,A,32.9834,-115.0675,Imperial,11,26,1.79,0.0,59.0,1.0,0,150509
107,025-33,PAD,2004,1915.0,Arson,2/14/2004,1930.0,0.1,A,32.9245,-115.1255,Imperial,2,14,2.91,0.0,53.8,1.0,0,150509
108,025-34,ROADRUNNER,2004,2345.0,Lightning,1/4/2004,112.0,0.1,A,32.9023,-115.1186,Imperial,1,3,9.4,0.0,55.4,1.0,0,150509
109,025-35,SIX,2004,2015.0,Campfire,1/3/2004,2050.0,0.1,A,32.9817,-115.0611,Imperial,1,3,9.4,0.0,55.4,1.0,0,150509
110,025-36,TRASH,2004,1205.0,Lightning,1/2/2004,1215.0,0.1,A,32.9978,-115.0839,Imperial,1,2,4.92,0.0,55.0,1.0,0,150509
111,025-37,TUB,2004,1940.0,Campfire,2/14/2004,1951.0,0.1,A,32.9664,-115.1711,Imperial,2,14,2.91,0.0,53.8,1.0,0,150509
112,025-38,AMERICAN,2005,2215.0,Lightning,3/7/2005,1354.0,1.0,B,32.705,-114.978,Imperial,3,5,6.93,0.11285714300000001,59.0,0.0,0,153780
113,025-39,DODGEPU,2005,1230.0,Missing/Undefined,8/15/2005,1300.0,0.1,A,32.9536,-115.8517,Imperial,8,15,7.61,0.0,90.25,0.0,0,153780
114,025-40,FOR DUNER,2005,2236.0,Missing/Undefined,11/23/2005,2247.0,0.1,A,32.9922,-115.0792,Imperial,11,23,2.68,0.0,67.5,0.0,0,153780
115,025-41,GASPLAY,2005,1800.0,Missing/Undefined,11/5/2005,1830.0,0.1,A,32.9383,-115.8086,Imperial,11,5,2.68,0.0,69.75,0.0,0,153780
116,025-42,HAY,2005,1330.0,Equipment Use,6/11/2005,1400.0,0.1,A,33.1603,-115.87,Imperial,6,11,6.71,0.0,85.0,0.0,0,153780
117,025-43,MONTGOMERY,2005,1430.0,Arson,7/9/2005,900.0,15.0,C,33.1664,-115.4005,Imperial,7,8,9.62,0.0,94.6,0.0,0,153780
118,025-44,NEW YORKER,2005,845.0,Arson,2/20/2005,1030.0,0.1,A,32.7575,-114.9686,Imperial,2,20,6.26,0.028333333,60.8,1.0,0,153780
119,025-45,PALMS,2005,2310.0,Children,1/20/2005,30.0,0.5,B,32.7659,-115.2705,Imperial,1,19,5.37,0.0,67.4,1.0,0,153780
120,025-46,SANDRAIL,2005,1735.0,Missing/Undefined,12/30/2005,1844.0,0.1,A,32.9567,-115.0169,Imperial,12,30,2.01,0.0,62.0,0.0,0,153780
121,025-47,SUBURBAN,2005,1200.0,Missing/Undefined,11/5/2005,1230.0,0.1,A,32.7872,-115.0244,Imperial,11,5,2.68,0.0,69.75,0.0,0,153780
122,025-48,TAMARISK,2005,1438.0,Missing/Undefined,12/28/2005,1520.0,0.1,A,32.705,-115.1311,Imperial,12,28,2.24,0.0,65.0,0.0,0,153780
123,025-49,YUHA,2005,1200.0,Missing/Undefined,7/7/2005,1230.0,0.1,A,32.7142,-115.935,Imperial,7,7,10.51,0.0,92.6,0.0,0,153780
124,025-50,AMERICAN,2006,1538.0,Campfire,1/22/2006,1200.0,0.5,B,32.7192,-114.7425,Imperial,1,20,5.37,0.0,54.25,1.0,0,157671
125,025-51,BONDS,2006,223.0,Campfire,6/29/2006,411.0,0.1,A,32.7167,-115.3008,Imperial,6,29,5.82,0.0,98.25,1.0,0,157671
126,025-52,CANYON,2006,1100.0,Missing/Undefined,8/16/2006,1100.0,0.1,A,32.7508,-116.0453,Imperial,8,16,5.82,0.0,93.0,1.0,0,157671
127,025-53,HOTSPRINGS,2006,930.0,Missing/Undefined,8/21/2006,930.0,0.1,A,32.7653,-115.2697,Imperial,8,21,5.82,0.0,99.0,1.0,0,157671
128,025-54,LONG DRIVE,2006,800.0,Lightning,8/11/2006,1145.0,0.2,A,32.8358,-114.5442,Imperial,8,10,8.05,0.0,96.25,1.0,0,157671
129,025-55,MAMMOTH,2006,1035.0,Equipment Use,4/16/2006,1105.0,0.1,A,33.1517,-115.3242,Imperial,4,16,14.76,0.0,70.75,1.0,0,157671
130,025-56,N SHORE,2006,1325.0,Miscellaneous,10/14/2006,1630.0,0.1,A,32.9148,-114.4849,Imperial,10,14,15.21,0.0,70.0,1.0,0,157671
131,025-57,POINT,2006,2114.0,Campfire,7/2/2006,116.0,0.1,A,32.9087,-114.4922,Imperial,7,1,8.72,0.0,98.25,1.0,0,157671
132,025-58,SQUAW 2,2006,900.0,Lightning,7/7/2006,900.0,0.1,A,32.9064,-114.4749,Imperial,7,7,8.95,0.0,96.25,1.0,0,157671
133,025-59,VAMPIRE,2006,1010.0,Miscellaneous,10/31/2006,1040.0,0.1,A,32.9123,-114.4883,Imperial,10,31,2.01,0.0,68.75,1.0,0,157671
134,025-60,BUGGY,2007,1127.0,Missing/Undefined,2/9/2007,1131.0,0.1,A,32.723095,-114.92478600000001,Imperial,2,9,2.795,0.0,66.25,1.0,0,161134
135,025-61,INKOPAH,2007,1133.0,Debris Burning,6/8/2007,1200.0,1118.0,F,32.6025,-116.8419,Imperial,6,5,19.575,0.0,87.75,1.0,0,161134
136,025-62,MEYER CREEK,2007,1340.0,Lightning,9/1/2007,1340.0,0.1,A,32.709309999999995,-116.05381000000001,Imperial,9,1,3.805,0.0,101.5,1.0,0,161134
137,025-63,OCOTILLO,2007,1440.0,Lightning,9/1/2007,1440.0,0.1,A,32.724779999999996,-116.03657,Imperial,9,1,3.805,0.0,101.5,1.0,0,161134
138,025-64,PRETTY WATER,2007,1610.0,Miscellaneous,3/22/2007,1830.0,0.1,A,33.33258,-114.72206000000001,Imperial,3,22,8.055,0.025714286,65.25,1.0,0,161134
139,025-65,SENATOR,2007,1559.0,Miscellaneous,5/27/2007,1630.0,0.1,A,32.9128,-114.4867,Imperial,5,27,6.935,0.0,86.5,1.0,0,161134
140,025-66,SOUTH MESA,2007,1440.0,Miscellaneous,6/10/2007,1500.0,0.1,A,32.9025,-114.4953,Imperial,6,10,6.485,0.0,85.0,1.0,0,161134
141,025-67,SPRINGS,2007,1330.0,Lightning,9/1/2007,1330.0,0.1,A,32.6667,-116.0667,Imperial,9,1,3.805,0.0,101.5,1.0,0,161134
142,025-68,TAMARISK,2007,1200.0,Lightning,6/26/2007,1200.0,2.0,B,32.795970000000004,-115.27871,Imperial,6,26,9.73,0.0,96.25,1.0,0,161134
143,025-69,TRUCK 1,2007,1200.0,Lightning,7/25/2007,1200.0,0.1,A,32.8844,-115.7719,Imperial,7,25,9.175,0.0,91.5,1.0,0,161134
144,025-70,TRUCK 2,2007,1200.0,Lightning,8/21/2007,1200.0,0.1,A,32.93911,-115.90046000000001,Imperial,8,21,5.815,0.0,99.25,1.0,0,161134
145,025-71,COACH,2008,2002.0,Equipment Use,11/29/2008,2029.0,0.1,A,32.981195,-115.19478799999999,Imperial,11,29,5.59,0.0,66.75,1.0,0,164005
146,025-72,FISH,2008,1530.0,Campfire,5/25/2008,1537.0,0.1,A,32.8328,-114.4872,Imperial,5,25,11.965,0.0,68.25,1.0,0,164005
147,025-73,MILPITAS MESA,2008,2010.0,Campfire,5/24/2008,2246.0,0.1,A,33.2658,-114.799203,Imperial,5,24,8.835,0.0,66.75,1.0,0,164005
148,025-74,NILAND 1,2008,1921.0,Miscellaneous,4/14/2008,1800.0,9.0,B,33.8,-115.97,Imperial,4,13,5.595,0.0,82.0,1.0,0,164005
149,025-75,OLIVARED,2008,801.0,Equipment Use,11/28/2008,950.0,0.1,A,32.98,-115.04598600000001,Imperial,11,28,4.92,0.0,62.5,1.0,0,164005
150,025-76,RHINO,2008,1442.0,Equipment Use,11/30/2008,1530.0,0.1,A,32.98,-115.0461,Imperial,11,30,6.935,0.0,70.25,1.0,0,164005
151,025-77,TRILEY,2008,1831.0,Arson,3/5/2008,1700.0,41.0,C,33.4048,-115.71,Imperial,3,1,9.17,0.0,68.75,1.0,0,164005
152,025-78,WASH 5,2008,1346.0,Missing/Undefined,1/20/2008,1439.0,0.1,A,32.981295,-115.0703,Imperial,1,20,5.815,0.0,53.25,1.0,0,164005
153,025-79,GOLD RANCH,2009,2342.0,Campfire,11/29/2009,44.0,0.1,A,32.8758,-114.8672,Imperial,11,28,16.215,0.0,58.75,1.0,0,167466
154,025-80,GRAY,2009,1830.0,Equipment Use,10/31/2009,1851.0,0.1,A,32.714292,-114.9194,Imperial,10,31,3.24,0.0,71.25,1.0,0,167466
155,025-81,KEYHOLE,2009,2235.0,Equipment Use,10/31/2009,2302.0,0.1,A,32.738295,-114.87878899999998,Imperial,10,31,3.24,0.0,71.25,1.0,0,167466
156,025-82,MIDWAY,2009,1210.0,Powerline,4/19/2009,1400.0,112.0,D,32.705690000000004,-115.12158000000001,Imperial,4,17,5.93,0.0,69.5,1.0,0,167466
157,025-83,MONTGOMERY,2009,1154.0,Campfire,4/8/2009,1638.0,290.0,D,33.15657,-115.387188,Imperial,4,7,11.41,0.0,74.25,1.0,0,167466
158,025-84,OGILBY,2009,633.0,Equipment Use,3/27/2009,923.0,0.3,B,32.772795,-114.84998600000002,Imperial,3,27,6.6,0.0,66.5,1.0,0,167466
159,025-85,DROP 4,2010,1206.0,Lightning,10/4/2010,930.0,2.0,B,32.705019,-115.209544,Imperial,10,2,5.59,0.483333333,80.75,1.0,0,174730
